
# Surface 0 of 1 surfaces

# Curve title: ""MAC_boco_omega.csv""

# IsoCurve 0, 201 points
# x y z type
 29.8 -6.3  0.00292743 i
 29.8 -6.2  0.00619817 i
 29.8 -6.1  0.00874061 i
 29.8 -6  0.0108265 i
 29.8 -5.9  0.0127612 i
 29.8 -5.8  0.0148703 i
 29.8 -5.7  0.017498 i
 29.8 -5.6  0.0210166 i
 29.8 -5.5  0.0258436 i
 29.8 -5.4  0.0324588 i
 29.8 -5.3  0.041413 i
 29.8 -5.2  0.0533181 i
 29.8 -5.1  0.0688134 i
 29.8 -5  0.0885037 i
 29.8 -4.9  0.112876 i
 29.8 -4.8  0.14221 i
 29.8 -4.7  0.176496 i
 29.8 -4.6  0.215386 i
 29.8 -4.5  0.258193 i
 29.8 -4.4  0.303944 i
 29.8 -4.3  0.351477 i
 29.8 -4.2  0.39957 i
 29.8 -4.1  0.447067 i
 29.8 -4  0.492987 i
 29.8 -3.9  0.536587 i
 29.8 -3.8  0.577381 i
 29.8 -3.7  0.61511 i
 29.8 -3.6  0.649692 i
 29.8 -3.5  0.681159 i
 29.8 -3.4  0.709599 i
 29.8 -3.3  0.735125 i
 29.8 -3.2  0.757852 i
 29.8 -3.1  0.777895 i
 29.8 -3  0.795371 i
 29.8 -2.9  0.810425 i
 29.8 -2.8  0.823283 i
 29.8 -2.7  0.83431 i
 29.8 -2.6  0.843507 i
 29.8 -2.5  0.850186 i
 29.8 -2.4  0.854258 i
 29.8 -2.3  0.856298 i
 29.8 -2.2  0.85648 i
 29.8 -2.1  0.854899 i
 29.8 -2  0.851642 i
 29.8 -1.9  0.846794 i
 29.8 -1.8  0.840436 i
 29.8 -1.7  0.83265 i
 29.8 -1.6  0.823517 i
 29.8 -1.5  0.81312 i
 29.8 -1.4  0.801549 i
 29.8 -1.3  0.7889 i
 29.8 -1.2  0.775277 i
 29.8 -1.1  0.760794 i
 29.8 -1  0.745579 i
 29.8 -0.9  0.729771 i
 29.8 -0.8  0.713527 i
 29.8 -0.7  0.697023 i
 29.8 -0.6  0.680454 i
 29.8 -0.5  0.664036 i
 29.8 -0.4  0.648009 i
 29.8 -0.3  0.632635 i
 29.8 -0.2  0.618196 i
 29.8 -0.1  0.60499 i
 29.8  0  0.593319 i
 29.8  0.1  0.583474 i
 29.8  0.2  0.575693 i
 29.8  0.3  0.569974 i
 29.8  0.4  0.565805 i
 29.8  0.5  0.562425 i
 29.8  0.6  0.55877 i
 29.8  0.7  0.553059 i
 29.8  0.8  0.542748 i
 29.8  0.9  0.524922 i
 29.8  1  0.497204 i
 29.8  1.1  0.458909 i
 29.8  1.2  0.411808 i
 29.8  1.3  0.359779 i
 29.8  1.4  0.307267 i
 29.8  1.5  0.25738 i
 29.8  1.6  0.210866 i
 29.8  1.7  0.166552 i
