
# Surface 0 of 1 surfaces

# Curve title: ""MAC_deco_5000.csv""

# IsoCurve 0, 201 points
# x y z type
 29.7 -7.8 -0.00152634 i
 29.7 -7.7 -0.00177816 i
 29.7 -7.6 -0.00205791 i
 29.7 -7.5 -0.00237245 i
 29.7 -7.4 -0.0027304 i
 29.7 -7.3 -0.00314208 i
 29.7 -7.2 -0.00361942 i
 29.7 -7.1 -0.0041757 i
 29.7 -7 -0.00482523 i
 29.7 -6.9 -0.00558308 i
 29.7 -6.8 -0.00646475 i
 29.7 -6.7 -0.00748601 i
 29.7 -6.6 -0.00866289 i
 29.7 -6.5 -0.0100118 i
 29.7 -6.4 -0.0115498 i
 29.7 -6.3 -0.0132951 i
 29.7 -6.2 -0.0152667 i
 29.7 -6.1 -0.0174853 i
 29.7 -6 -0.0199721 i
 29.7 -5.9 -0.0227481 i
 29.7 -5.8 -0.0258328 i
 29.7 -5.7 -0.0292422 i
 29.7 -5.6 -0.0329868 i
 29.7 -5.5 -0.0370692 i
 29.7 -5.4 -0.0414823 i
 29.7 -5.3 -0.0462082 i
 29.7 -5.2 -0.0512177 i
 29.7 -5.1 -0.0564702 i
 29.7 -5 -0.0619147 i
 29.7 -4.9 -0.0674909 i
 29.7 -4.8 -0.0731305 i
 29.7 -4.7 -0.0787589 i
 29.7 -4.6 -0.0842965 i
 29.7 -4.5 -0.0896597 i
 29.7 -4.4 -0.0947626 i
 29.7 -4.3 -0.0995176 i
 29.7 -4.2 -0.103837 i
 29.7 -4.1 -0.107632 i
 29.7 -4 -0.110817 i
 29.7 -3.9 -0.113302 i
 29.7 -3.8 -0.114998 i
 29.7 -3.7 -0.115813 i
 29.7 -3.6 -0.115649 i
 29.7 -3.5 -0.114392 i
 29.7 -3.4 -0.111916 i
 29.7 -3.3 -0.108062 i
 29.7 -3.2 -0.102636 i
 29.7 -3.1 -0.0953841 i
 29.7 -3 -0.0859989 i
 29.7 -2.9 -0.0741338 i
 29.7 -2.8 -0.059367 i
 29.7 -2.7 -0.0412564 i
 29.7 -2.6 -0.0194094 i
 29.7 -2.5  0.00637561 i
 29.7 -2.4  0.0358412 i
 29.7 -2.3  0.0678876 i
 29.7 -2.2  0.10003 i
 29.7 -2.1  0.128231 i
 29.7 -2  0.147352 i
 29.7 -1.9  0.15473 i
 29.7 -1.8  0.151058 i
 29.7 -1.7  0.139283 i
 29.7 -1.6  0.123169 i
 29.7 -1.5  0.105536 i
 29.7 -1.4  0.088188 i
 29.7 -1.3  0.0721256 i
 29.7 -1.2  0.0578063 i
 29.7 -1.1  0.0453601 i
 29.7 -1  0.0347343 i
 29.7 -0.9  0.0257854 i
 29.7 -0.8  0.018332 i
 29.7 -0.7  0.0121849 i
 29.7 -0.6  0.00716244 i
 29.7 -0.5  0.00309839 i
 29.7 -0.4 -0.00015502 i
 29.7 -0.3 -0.00272657 i
 29.7 -0.2 -0.00472683 i
 29.7 -0.1 -0.00624961 i
 29.7  0 -0.00737369 i
 29.7  0.1 -0.00816449 i
 29.7  0.2 -0.00867584 i
 29.7  0.3 -0.00895153 i
 29.7  0.4 -0.00902684 i
 29.7  0.5 -0.00892999 i
 29.7  0.6 -0.00868347 i
 29.7  0.7 -0.00830536 i
 29.7  0.8 -0.00781054 i
 29.7  0.9 -0.00721178 i
 29.7  1 -0.00652075 i
 29.7  1.1 -0.00574872 i
 29.7  1.2 -0.00490717 i
 29.7  1.3 -0.00400777 i
 29.7  1.4 -0.00306292 i
 29.7  1.5 -0.00208356 i
 29.7  1.6 -0.00107832 i
 29.7  1.7 -5.8573e-05 i
 29.7  1.8  0.000967337 i
 29.7  1.9  0.00199315 i
 29.7  2  0.00301333 i
 29.7  2.1  0.00402265 i
 29.7  2.2  0.00501602 i
 29.7  2.3  0.00598829 i
 29.7  2.4  0.00693354 i
 29.7  2.5  0.0078456 i
 29.7  2.6  0.00871848 i
 29.7  2.7  0.00954659 i
 29.7  2.8  0.0103248 i
 29.7  2.9  0.0110485 i
 29.7  3  0.0117133 i
 29.7  3.1  0.0123151 i
 29.7  3.2  0.0128498 i
 29.7  3.3  0.0133135 i
 29.7  3.4  0.0137028 i
 29.7  3.5  0.0140148 i
 29.7  3.6  0.0142478 i
 29.7  3.7  0.0144016 i
 29.7  3.8  0.0144771 i
 29.7  3.9  0.014477 i
 29.7  4  0.0144053 i
 29.7  4.1  0.0142671 i
 29.7  4.2  0.0140684 i
 29.7  4.3  0.0138156 i
 29.7  4.4  0.0135156 i
 29.7  4.5  0.013175 i
 29.7  4.6  0.0128005 i
 29.7  4.7  0.0123983 i
 29.7  4.8  0.0119742 i
 29.7  4.9  0.0115334 i
 29.7  5  0.0110805 i
 29.7  5.1  0.0106197 i
 29.7  5.2  0.0101544 i
 29.7  5.3  0.00968751 i
 29.7  5.4  0.00922131 i
 29.7  5.5  0.00875776 i
 29.7  5.6  0.00829838 i
 29.7  5.7  0.00784442 i
 29.7  5.8  0.0073969 i
 29.7  5.9  0.0069567 i
 29.7  6  0.00652458 i
 29.7  6.1  0.00610127 i
 29.7  6.2  0.00568742 i
 29.7  6.3  0.00528366 i
 29.7  6.4  0.00489061 i
 29.7  6.5  0.00450882 i
 29.7  6.6  0.00413884 i
 29.7  6.7  0.00378113 i
 29.7  6.8  0.00343615 i
 29.7  6.9  0.00310428 i
 29.7  7  0.00278586 i
 29.7  7.1  0.00248123 i
 29.7  7.2  0.00219068 i
 29.7  7.3  0.00191449 i
 29.7  7.4  0.00165296 i
 29.7  7.5  0.00140638 i
 29.7  7.6  0.0011751 i
 29.7  7.7  0.000959471 i
 29.7  7.8  0.000759877 i
 29.7  7.9  0.000576736 i
 29.7  8  0.000410473 i
 29.7  8.1  0.000261506 i
 29.7  8.2  0.000130218 i
 29.7  8.3  1.6916e-05 i
 29.7  8.4 -7.82117e-05 i
 29.7  8.5 -0.000155146 i
 29.7  8.6 -0.000214089 i
 29.7  8.7 -0.000255519 i
 29.7  8.8 -0.000280229 i
 29.7  8.9 -0.000289362 i
 29.7  9 -0.000284416 i
 29.7  9.1 -0.000267226 i
 29.7  9.2 -0.000239937 i
 29.7  9.3 -0.00020486 i
 29.7  9.4 -0.00016458 i
 29.7  9.5 -0.000121163 i
 29.7  9.6 -7.82818e-05 i
 29.7  9.7 -3.40289e-05 i
 29.7  9.8 -4.82819e-06 i
 29.7  9.9  4.94679e-05 i
 29.7  10  0 i

# IsoCurve 4, 201 points
# x y z type
 29.6 -10  0 i
 29.6 -9.9  7.97552e-06 i
 29.6 -9.8  9.69212e-05 i
 29.6 -9.7  0.000139107 i
 29.6 -9.6  0.000186541 i
 29.6 -9.5  0.000218302 i
 29.6 -9.4  0.000240224 i
 29.6 -9.3  0.00024824 i
 29.6 -9.2  0.000241858 i
 29.6 -9.1  0.000219327 i
 29.6 -9  0.000179521 i
 29.6 -8.9  0.000121351 i
 29.6 -8.8  4.4067e-05 i
 29.6 -8.7 -5.28042e-05 i
 29.6 -8.6 -0.000169433 i
 29.6 -8.5 -0.000305751 i
 29.6 -8.4 -0.000461554 i
 29.6 -8.3 -0.000636649 i
 29.6 -8.2 -0.000831062 i
 29.6 -8.1 -0.00104528 i
 29.6 -8 -0.00128055 i
 29.6 -7.9 -0.00153915 i
 29.6 -7.8 -0.00182471 i
 29.6 -7.7 -0.00214251 i
 29.6 -7.6 -0.00249971 i
 29.6 -7.5 -0.00290553 i
 29.6 -7.4 -0.00337129 i
 29.6 -7.3 -0.00391043 i
 29.6 -7.2 -0.00453829 i
 29.6 -7.1 -0.00527183 i
 29.6 -7 -0.00612931 i
 29.6 -6.9 -0.00712981 i
 29.6 -6.8 -0.00829298 i
 29.6 -6.7 -0.00963876 i
 29.6 -6.6 -0.0111874 i
 29.6 -6.5 -0.0129595 i
 29.6 -6.4 -0.0149767 i
