
# Surface 0 of 1 surfaces

# Curve title: ""MAC_deco_5000.csv""

# Contour 0, label:     1.08
 0.5503  0.8  0.28 
 0.549277  0.7  0.28 
 0.547575  0.6  0.28 
 0.547575  0.5  0.28 

-5.2 -0.589127  0.28 
-5.24508 -0.5  0.28 
-5.28924 -0.4  0.28 
-5.3 -0.372157  0.28 
-5.32851 -0.3  0.28 
-5.36247 -0.2  0.28 
-5.39105 -0.1  0.28 
-5.4 -0.0622384  0.28 
-5.4152  0  0.28 
-5.4347  0.1  0.28 
-5.44942  0.2  0.28 
-5.45953  0.3  0.28 
-5.46509  0.4  0.28 
-5.46621  0.5  0.28 
-5.46287  0.6  0.28 
-5.45509  0.7  0.28 
-5.44278  0.8  0.28 
-5.42585  0.9  0.28 
-5.40418  1  0.28 
-5.4  1.01589  0.28 
-5.37838  1.1  0.28 
-5.3477  1.2  0.28 
-5.31176  1.3  0.28 
-5.3  1.3287  0.28 
-5.27121  1.4  0.28 
-5.22524  1.5  0.28 
-5.2  1.5489  0.28 
-5.17383  1.6  0.28 
-5.1166  1.7  0.28 
-5.1  1.72632  0.28 
-5.05354  1.8  0.28 
-5  1.87667  0.28 
-4.98363  1.9  0.28 
-4.90676  2  0.28 
-4.9  2.00811  0.28 
-4.8224  2.1  0.28 
-4.8  2.12444  0.28 
-4.72939  2.2  0.28 
-4.7  2.22914  0.28 
-4.62666  2.3  0.28 
-4.6  2.324  0.28 
-4.51272  2.4  0.28 
-4.5  2.41037  0.28 
-4.4  2.48911  0.28 
-4.38561  2.5  0.28 
-4.3  2.56105  0.28 
-4.24226  2.6  0.28 
-4.2  2.627  0.28 
-4.1  2.68733  0.28 
-4.07781  2.7  0.28 
-4  2.74235  0.28 
-3.9  2.79251  0.28 
-3.8841  2.8  0.28 
-3.8  2.838  0.28 
-3.7  2.87904  0.28 
-3.64388  2.9  0.28 
-3.6  2.91583  0.28 
-3.5  2.94856  0.28 
-3.4  2.97722  0.28 
-3.30797  3  0.28 
-3.3  3.00192  0.28 
-3.2  3.023  0.28 
-3.1  3.04028  0.28 
-3  3.05379  0.28 
-2.9  3.06359  0.28 
-2.8  3.0697  0.28 
-2.7  3.07213  0.28 
-2.6  3.07088  0.28 
-2.5  3.06591  0.28 
-2.4  3.05718  0.28 
-2.3  3.04459  0.28 
-2.2  3.02801  0.28 
-2.1  3.00726  0.28 
-2.07161  3  0.28 
-2  2.98281  0.28 
-1.9  2.95424  0.28 
-1.8  2.92091  0.28 
-1.74613  2.9  0.28 
-1.7  2.88322  0.28 
-1.6  2.84116  0.28 
-1.5144  2.8  0.28 
-1.5  2.79352  0.28 
-1.4  2.74177  0.28 
-1.32915  2.7  0.28 
-1.3  2.68394  0.28 
-1.2  2.62095  0.28 
-1.17088  2.6  0.28 
-1.1  2.55239  0.28 
-1.0317  2.5  0.28 
-1  2.47734  0.28 
-0.905354  2.4  0.28 
-0.9  2.39593  0.28 
-0.8  2.30901  0.28 
-0.790949  2.3  0.28 
-0.7  2.21629  0.28 
-0.684548  2.2  0.28 
-0.6  2.11829  0.28 
